#,System call,10240,10586,14393,15063,16299,17134,17763,18362,18363,19041,19042,19043,19044,19045,22000,20348,22621,22631,25398,26100,26085
463,NtStopProfile,0x019d,0x01a0,0x01a6,0x01ac,0x01af,0x01b1,0x01b2,0x01b3,0x01b3,0x01b9,0x01b9,0x01b9,0x01bb,0x01bb,0x01c1,0x01c4,0x01c8,0x01c8,0x01ca,0x01cb,0x01cb
464,NtSubmitIoRing,,,,,,,,,,,,,,,,0x01c5,0x01c9,0x01c9,0x01cb,0x01cc,0x01cc
465,NtSubscribeWnfStateChange,0x019e,0x01a1,0x01a7,0x01ad,0x01b0,0x01b2,0x01b3,0x01b4,0x01b4,0x01ba,0x01ba,0x01ba,0x01bc,0x01bc,0x01c2,0x01c6,0x01ca,0x01ca,0x01cc,0x01cd,0x01cd
466,NtSuspendProcess,0x019f,0x01a2,0x01a8,0x01ae,0x01b1,0x01b3,0x01b4,0x01b5,0x01b5,0x01bb,0x01bb,0x01bb,0x01bd,0x01bd,0x01c3,0x01c7,0x01cb,0x01cb,0x01cd,0x01ce,0x01ce
467,NtSuspendThread,0x01a0,0x01a3,0x01a9,0x01af,0x01b2,0x01b4,0x01b5,0x01b6,0x01b6,0x01bc,0x01bc,0x01bc,0x01be,0x01be,0x01c4,0x01c8,0x01cc,0x01cc,0x01ce,0x01cf,0x01cf
468,NtSystemDebugControl,0x01a1,0x01a4,0x01aa,0x01b0,0x01b3,0x01b5,0x01b6,0x01b7,0x01b7,0x01bd,0x01bd,0x01bd,0x01bf,0x01bf,0x01c5,0x01c9,0x01cd,0x01cd,0x01cf,0x01d0,0x01d0
469,NtTerminateEnclave,,,,,0x01b4,0x01b6,0x01b7,0x01b8,0x01b8,0x01be,0x01be,0x01be,0x01c0,0x01c0,0x01c6,0x01ca,0x01ce,0x01ce,0x01d0,0x01d1,0x01d1
470,NtTerminateJobObject,0x01a2,0x01a5,0x01ab,0x01b1,0x01b5,0x01b7,0x01b8,0x01b9,0x01b9,0x01bf,0x01bf,0x01bf,0x01c1,0x01c1,0x01c7,0x01cb,0x01cf,0x01cf,0x01d1,0x01d2,0x01d2
471,NtTerminateProcess,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c
472,NtTerminateThread,0x0053,0x0053,0x0053,0x0053,0x0053,0x0053,0x0053,0x0053,0x0053,0x0053,0x0053,0x0053,0x0053,0x0053,0x0053,0x0053,0x0053,0x0053,0x0053,0x0053,0x0053
